Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_30_236.jpg;11.69501;1;0;0.4577248;99.28806;85.27493;1.103761;222.0587;-0.004746128
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_30_278.jpg;11.82311;1;0;0.4843094;99.26812;85.2533;1.094139;222.5822;-0.003015998
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_30_319.jpg;11.18813;1;0;0.521949;99.2534;85.23734;1.117245;222.7378;-0.0009645741
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_30_361.jpg;10.56204;1;0;0.5431991;99.23779;85.22047;1.152752;223.0267;-0.003737884
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_30_403.jpg;9.934369;1;0;0.5884178;99.22122;85.2024;1.200976;223.3315;-0.003633391
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_30_444.jpg;9.315549;1;0;0.629704;99.20404;85.18372;1.233534;223.5673;-0.003709386
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_30_485.jpg;10.30131;1;0;0.6566024;99.18642;85.16451;1.233437;223.9472;-0.0056206
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_30_527.jpg;13.23102;1;0;0.7037104;99.16795;85.14369;1.232645;224.3771;-0.005446335
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_30_570.jpg;15;1;0;0.7343015;99.1496;85.12196;1.209919;224.9349;359.994
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_30_611.jpg;15;1;0;0.7649157;99.13058;85.09863;1.191579;225.5056;359.9938
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_30_653.jpg;15;1;0;0.7992617;99.11096;85.07391;1.187064;226.1665;-0.00336032
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_30_695.jpg;15;0.9157972;0;0.8193008;99.091;85.04826;1.181298;226.8655;-0.002744959
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_30_736.jpg;15;0.7918786;0;0.8577885;99.0702;85.02102;1.191141;227.504;-0.002601717
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_30_777.jpg;15;0.6645202;0;0.8858661;99.03866;84.97834;1.195381;228.4586;-0.002764907
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_30_819.jpg;15;0.54127;0;0.8918083;99.01787;84.94926;1.177978;229.1321;-0.00140753
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_30_861.jpg;15;0.4150453;0;0.9222399;98.99683;84.91904;1.170764;229.705;0.0107274
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_30_902.jpg;15;0.2920143;0;0.9270806;98.97601;84.88853;1.153539;230.2965;0.02679029
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_30_944.jpg;15;0.1673859;0;0.9345592;98.95552;84.85786;1.122779;230.8778;0.0478792
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_30_985.jpg;15;0.04035844;0;0.9370971;98.93548;84.82715;1.077476;231.4293;0.074515
